KF_Time;KF_States;KF_Covariance;
1525176485000494858;0.077180353500265 0.155944779738295 0.227183695852499                 0                 0                 0  2.78403251297827 -2.53937555255848 -4.75445947380978;    0.61846212081442     0.61846212081442    0.708813898878129 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0287052913489027   0.0287052913489027    0.929601345504719;
1525176485100338948;0.087971688282513  0.16213300496823 0.227634789719701                 0                 0                 0  2.78403251297827 -2.53937555255848 -4.75445947380978;   0.659462131915483    0.659462131915483    0.749813909979192 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0288052913463765   0.0288052913463765    0.939601345281202;
1525176485200459459;0.0970144107314005  0.165877910957471  0.226457956244492                  0                  0                  0   2.78403251297827  -2.53937555255848  -4.75445947380978;   0.700462143072438    0.700462143072438    0.790813921136147 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0289052913438503   0.0289052913438503    0.949601345057684;
1525176485301599141;  0.00708647252658276     0.262874302194625     0.211580664922614 -3.99804809892215e-12 -1.24945246859504e-13                     0      2.78104610319205     -2.53656100479756     -4.77044003487755;   0.648780099763599    0.648780099763599    0.804866799381132 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0289208734975006   0.0289208734975006    0.922950594017702;
1525176485400502396;0.0152197993786455   0.26581077429556  0.210244386298723                  0                  0                  0   2.78104610319205  -2.53656100479756  -4.77044003487755;   0.689780110918726    0.689780110918726    0.845866810536258 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0290208734949744   0.0290208734949744    0.932950593794184;
1525176485500334557;0.023879579402475   0.2686699019952 0.208858130129528                 0                 0                 0  2.78104610319205 -2.53656100479756 -4.77044003487755;   0.730780122017352    0.730780122017352    0.886866821634884 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0291208734924482   0.0291208734924482    0.942950593570667;
1525176485600492616;0.031092042461824 0.270878247370737 0.206101331836342                 0                 0                 0  2.78104610319205 -2.53656100479756 -4.77044003487755;    0.77178013318176     0.77178013318176    0.927866832799293 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.029220873489922    0.029220873489922     0.95295059334715;
1525176485700326025;0.0374335488860867  0.272001317410606  0.202135338504178                  0                  0                  0   2.78104610319205  -2.53656100479756  -4.77044003487755;   0.812780144280702    0.812780144280702    0.968866843898235 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0293208734873958   0.0293208734873958    0.962950593123632;
1525176485802475574;  -0.0617456599030839     0.364012392283416     0.182813718335236 -3.99804809892215e-12 -1.24945246859504e-13                     0        2.778571984295     -2.53443037047562     -4.78516663156301;   0.733614450421601    0.733614450421601    0.971882261729613 9.99999997375243e-07 9.99999997375243e-07 9.99999997375243e-07   0.0293548326289553   0.0293548326289553    0.937968060274595;
1525176485900390371;-0.0552549902154411   0.365803400006634   0.179001330146715                   0                   0                   0      2.778571984295   -2.53443037047562   -4.78516663156301;   0.774614461549534    0.774614461549534     1.01288227285755 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0294548326264291   0.0294548326264291    0.947968060051078;
