KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1524643698868542283; 1.38875143058401 0.963052160607551                 0;-6.14078799758889  16.4881493639017  34.6173300303646;
1524643699268606177; 1.38875143058401 0.963052160607551                 0;-5.79240318488576  15.7701852310563  34.6684786542357;
1524643699868829781; 1.38875143058401 0.963052160607551                 0;-5.4984126543521 14.7447902576338 34.6777378347697;
1524643700268523292; 1.38875143058401 0.963052160607551                 0;-5.38280596666608  13.5137334536523  34.6601721908449;
1524643700668547606; 1.55374134430934 -2.24472444522347                 0;-4.83102525135293  12.3088017260971  34.7483993527483;
1524643701269521772; 1.55374134430934 -2.24472444522347                 0;-4.37366764447733  11.3818090487834  34.9232618795155;
1524643701668951311; 1.55374134430934 -2.24472444522347                 0;-3.8445814017756 10.4736169715222 35.1198587134181;
1524643702069084814; 1.55374134430934 -2.24472444522347                 0;  -3.55424203079 9.39008587303743 35.2219231456591;
1524643702668737990; 1.55374134430934 -2.24472444522347                 0;-3.26858557439326  8.53948591404366  35.1528933238652;
1524643703069253382; 1.55374134430934 -2.24472444522347                 0;-2.96407532697523  7.28339081294104  35.1644868553759;
1524643703468681653; 1.55374134430934 -2.24472444522347                 0;-2.50068059516683  5.90502615802838  34.9958557666331;
1524643704068505772; 1.55374134430934 -2.24472444522347                 0;-1.91177014622418  4.55639006667215  35.0878584775465;
1524643704468777520; 1.55374134430934 -2.24472444522347                 0;-1.19865332756344  3.26770836635957  35.2329150660095;
1524643704869262484; 1.55374134430934 -2.24472444522347                 0;-0.471086523433009    2.3033455949669   35.5109586534829;
1524643705468477056; 1.46850313971879 -2.01087009243164                 0;0.310204079741013  1.36533957032981  35.5827006438453;
1524643705868893383; 1.46850313971879 -2.01087009243164                 0; 1.12962952081377 0.430694904608874  35.5585441564355;
1524643706268826618; 1.46850313971879 -2.01087009243164                 0;  1.64564630482344 -0.595673243439879   35.5860978573617;
1524643706868685346; 1.46850313971879 -2.01087009243164                 0;  2.1898654777702 -2.00630891981532   35.665106019501;
1524643707269219769; 1.46850313971879 -2.01087009243164                 0; 2.85005778345043 -3.38797178890361  35.6656459806807;
1524643707669433642; 1.46850313971879 -2.01087009243164                 0; 3.42349021891474 -4.45114127584774  35.7331581292129;
1524643708069208438; 1.46850313971879 -2.01087009243164                 0;3.74143994246751 -5.2859833125372 35.8576400552625;
1524643708668680163; 1.46850313971879 -2.01087009243164                 0; 3.88262036498228 -6.04523279492387   36.009569069138;
1524643709068692362; 1.46850313971879 -2.01087009243164                 0; 3.79185427921222 -6.66944140735659  36.2477390403135;
1524643709468546498; 1.46850313971879 -2.01087009243164                 0;3.56566193520177 -7.4982335639916 36.4456354366235;
1524643710068573448;0.0694145293897746  -1.94876412710969                  0; 3.41729321082871 -8.17281295967287  36.5883191246209;
1524643710468975954;0.0694145293897746  -1.94876412710969                  0; 3.33466101307193 -9.07149651038014  36.6975130831233;
1524643710869152970;0.0694145293897746  -1.94876412710969                  0;3.07855003587209 -9.6791141024381 36.7942522035647;
1524643711468596464;0.0694145293897746  -1.94876412710969                  0; 2.72935032171985 -10.3215347566545  36.8541411233694;
1524643711868962177;0.0694145293897746  -1.94876412710969                  0;  2.7509894939685 -10.8940792267178  36.9251863010478;
1524643712269086677;0.0694145293897746  -1.94876412710969                  0; 2.89870780563328 -11.2469090831683  36.9039048497596;
1524643712869021809;0.0694145293897746  -1.94876412710969                  0;3.63141002948767 -11.200883991636 36.9430321026851;
1524643713269093754;0.0694145293897746  -1.94876412710969                  0; 4.66070434813293 -10.9089973289748  36.9671312686216;
1524643713668525122;0.0694145293897746  -1.94876412710969                  0; 5.15995798719907 -10.6721438923946  37.0174000129757;
1524643714268679439;0.0694145293897746  -1.94876412710969                  0; 5.64657855435869 -10.6093822995002  37.0262452596645;
1524643714669740616;0.680429957531605 -1.72032411855834                 0; 5.73946069230969 -10.3390083995873  37.2798637795008;
1524643715069014738;0.680429957531605 -1.72032411855834                 0; 6.19466864126103 -9.96483256175028  37.5503382950109;
1524643715668958996;0.680429957531605 -1.72032411855834                 0; 6.60472475902312 -9.56630958114025  37.7651941032551;
1524643716069339841;0.680429957531605 -1.72032411855834                 0;   7.042291060279 -9.20242493324206  37.7705906618264;
1524643716468724397;0.680429957531605 -1.72032411855834                 0;  7.5940120218252 -8.59315352682349   37.675250110419;
1524643717068994511;0.680429957531605 -1.72032411855834                 0;7.77014915363375 -8.2069798119413 37.5787078945353;
1524643717469052703;0.680429957531605 -1.72032411855834                 0; 7.83933818071382 -7.99872439289816  37.5650203749217;
1524643717869244784;0.680429957531605 -1.72032411855834                 0; 7.95503846080797 -7.68204834880696  37.5259710170449;
1524643718468499950;0.680429957531605 -1.72032411855834                 0; 7.98095844725842 -7.28787953388277  37.4430966019617;
1524643718870270589;0.680429957531605 -1.72032411855834                 0; 8.01908888777144 -6.91189644824472  37.3860497740563;
1524643719268840584; 1.49042188437011 -1.31861389594932                 0;  8.2746406392137 -6.74249521131609  37.3241896617434;
1524643719669249280; 1.49042188437011 -1.31861389594932                 0;8.60696233344392  -6.665587576111 37.2834340591477;
1524643720269358024; 1.49042188437011 -1.31861389594932                 0; 8.90921317955612 -6.48116066305549  37.2631502953373;
1524643720668755067; 1.49042188437011 -1.31861389594932                 0; 9.26475451476797 -6.37350803459814  37.2386417423092;
1524643721069010164; 1.49042188437011 -1.31861389594932                 0; 9.75025406395852 -6.26708653679448  37.1413320341922;
1524643721668696886; 1.49042188437011 -1.31861389594932                 0; 10.3388990736129 -6.09881171950561  37.0881009050126;
1524643722069032344; 1.49042188437011 -1.31861389594932                 0;   10.75762212924 -5.67762662708437  37.1299330786488;
1524643722468830919; 1.49042188437011 -1.31861389594932                 0; 10.9942000603019 -5.06468102429955  37.3064211256226;
1524643723068523379; 1.49042188437011 -1.31861389594932                 0; 11.0097191298443 -4.29858549972309  37.4263536248131;
1524643723469636658; 1.49042188437011 -1.31861389594932                 0; 10.9943921278996 -3.66578779297182  37.6233031526669;
1524643723869185300;  1.79338828089009 -0.310094298506279                  0; 10.8389197840591 -2.89133246185489   37.799408920544;
1524643724468878736;  1.79338828089009 -0.310094298506279                  0; 10.6789655365171 -2.17267292507464  37.9306152607773;
1524643724868519688;  1.79338828089009 -0.310094298506279                  0; 10.2609161488084 -1.34701525918976  38.0871501394184;
1524643725268560080;  1.79338828089009 -0.310094298506279                  0;  9.64300364537874 -0.548067559506391   38.2682121388071;
1524643725868600560;  1.79338828089009 -0.310094298506279                  0; 8.86911997783695 0.263635119439863  38.4254421789718;
1524643726268556345;  1.79338828089009 -0.310094298506279                  0;7.99641988983102 1.01456339512192 38.5527523038693;
1524643726668985493;  1.79338828089009 -0.310094298506279                  0;6.91864243774345 1.77588211896459  38.666585194998;
1524643727268803411;  1.79338828089009 -0.310094298506279                  0;5.96976707931428 2.40417926256482 38.7185765838007;
1524643727669312903;  1.79338828089009 -0.310094298506279                  0;5.16488299858681  2.8642031088052  38.687834212154;
1524643728069111186;  1.79338828089009 -0.310094298506279                  0;4.81639539660976 3.02885006979332 38.6771187914618;
1524643728668938916; 0.0888522878367268 -0.0143272797899478                   0;4.76915417393614 2.98682785957133 38.6669863018675;
