KF_Time;KF_States;KF_Covariance;
1524643693870328815;  -8.46115507275636    13.7323472327067    17.6375400157355 -0.0160808136939756    1.57364381909988 0.00426057207311303  -0.274505029776241   -1.42259370698732    16.7250969937073; 0.700000485656642  0.700000485656642   1.56267391688803  0.243160497878062  0.243160497878062  0.258836962432102 0.0801275645973545 0.0801275645973545  0.269540181623038;
1524643694068466241;  -8.46115507275636    13.7323472327067    17.6375400157355 -0.0160808136939756    1.57364381909988 0.00426057207311303  -0.274505029776241   -1.42259370698732    16.7250969937073; 0.700000485656642  0.700000485656642   1.56267391688803  0.243160497878062  0.243160497878062  0.258836962432102 0.0801275645973545 0.0801275645973545  0.269540181623038;
1524643694269366686;  -8.4814611216783   14.8031015339508   17.7457984973741 0.0955414702011156   1.51645602229686 0.0247371205374755 -0.274872961989338  -1.42241698111835    16.729198812975; 0.676120772294335  0.676120772294335   1.54687742299828  0.244098918062597  0.244098918062597  0.259188938001966 0.0801369387816941 0.0801369387816941    0.2703357880086;
1524643694468243998;  -8.4814611216783   14.8031015339508   17.7457984973741 0.0955414702011156   1.51645602229686 0.0247371205374755 -0.274872961989338  -1.42241698111835    16.729198812975; 0.676120772294335  0.676120772294335   1.54687742299828  0.244098918062597  0.244098918062597  0.259188938001966 0.0801369387816941 0.0801369387816941    0.2703357880086;
1524643694668244755;  -8.4814611216783   14.8031015339508   17.7457984973741 0.0955414702011156   1.51645602229686 0.0247371205374755 -0.274872961989338  -1.42241698111835    16.729198812975; 0.676120772294335  0.676120772294335   1.54687742299828  0.244098918062597  0.244098918062597  0.259188938001966 0.0801369387816941 0.0801369387816941    0.2703357880086;
1524643694868199666;  -8.4814611216783   14.8031015339508   17.7457984973741 0.0955414702011156   1.51645602229686 0.0247371205374755 -0.274872961989338  -1.42241698111835    16.729198812975; 0.676120772294335  0.676120772294335   1.54687742299828  0.244098918062597  0.244098918062597  0.259188938001966 0.0801369387816941 0.0801369387816941    0.2703357880086;
1524643695068267853;  -8.4814611216783   14.8031015339508   17.7457984973741 0.0955414702011156   1.51645602229686 0.0247371205374755 -0.274872961989338  -1.42241698111835    16.729198812975; 0.676120772294335  0.676120772294335   1.54687742299828  0.244098918062597  0.244098918062597  0.259188938001966 0.0801369387816941 0.0801369387816941    0.2703357880086;
1524643695270128230; -9.16026626110749    16.835654822663   17.9880514793591  0.383452472400951   1.47149344474445 0.0323952538594559 -0.275805883368089  -1.42226689836343   16.7308741837059; 0.847011216723399  0.847011216723399   1.83429392686157  0.232773959065588  0.232773959065588  0.254856596995084 0.0801464783673309 0.0801464783673309  0.271197025783523;
1524643695468283484; -9.16026626110749    16.835654822663   17.9880514793591  0.383452472400951   1.47149344474445 0.0323952538594559 -0.275805883368089  -1.42226689836343   16.7308741837059; 0.847011216723399  0.847011216723399   1.83429392686157  0.232773959065588  0.232773959065588  0.254856596995084 0.0801464783673309 0.0801464783673309  0.271197025783523;
1524643695669714537; -9.01956138100347   17.5514719988353   18.0875938064809  0.512117654132941   1.52682195543892 0.0300823756140925 -0.276437058609112  -1.42238881736766   16.7317010115993; 0.773537369488962  0.773537369488962   1.76984733393497  0.235027611928738  0.235027611928738   0.25514175429391 0.0801562458175448 0.0801562458175448  0.272089371709351;
