KF_Time;KF_States;KF_Covariance;
1527252284332131089;   5.72622726644193   0.473970346191577    14.9138601616239    2.55041461747209   0.253418854788115 0.00304749719590429     7.3095271928595    1.03745988536479    42.0786664780811; 0.118382389943269  0.118382465652834  0.186907884563226  0.051455778428024 0.0514557742752684 0.0535621877622565 0.0275147357360227 0.0275147445089182  0.382531464238621;
1527252284433262278;   5.66009043884665   0.409039592938837    14.9552416941312    2.54954987788756    0.25398687786439 -0.0019208719991121    7.32286223441085    1.04840171183705    42.0582333408959;0.0873210784509571 0.0873211177026329 0.0845626740802819 0.0528294430867233 0.0528294351728676 0.0566572955011221 0.0264798921158323 0.0264799012145072  0.358939342140364;
1527252284534456371;    5.67462578907622    0.403260631242854     14.9505249030715     2.55690684942904    0.256439574408412 -0.00595633817661943     7.31961269649624     1.04880081023812      42.059813671103;0.0899844599623798 0.0899844999241626  0.088605776216553 0.0528334944643616 0.0528334865176533 0.0567028126467673 0.0265454099737959 0.0265454190519283  0.361746031939735;
1527252284635664822;    5.68610890383909    0.398178909515291     14.9497170942209     2.55224492321635    0.256204216884715 -0.00787356396576019     7.31693275729482     1.04926755404674     42.0614624571603;0.0925475968175534  0.092547637574512 0.0926294394119484 0.0528335061132146   0.05283349816635 0.0567034491733112 0.0266119403049588 0.0266119493621323  0.364472521125506;
1527252284736844764;   5.66882752344501   0.397764841540267    14.9450142035319    2.55626645885879   0.258206570536934 -0.0111576417384499    7.31090803655337    1.05021808669311    42.0641581146834;0.0934100917317958  0.093410134244948 0.0964261265088953 0.0514557910771067 0.0514557868877208 0.0535622959097879 0.0266485999453645 0.0266486089592087  0.360155939089799;
1527252284838082610;   5.67759452323733   0.394584476905166    14.9401031660926    2.55889470770793    0.25858763749296 -0.0116768717774897    7.30858847024826    1.05075444371233    42.0655260617657;0.0958559912030158 0.0958560345396565  0.100416020637658 0.0528294432583781 0.0528294353444102 0.0566573035766528 0.0267186279420224 0.0267186369336703  0.363101512870303;
1527252284940423147;    5.6699572257733    0.39143183410671    14.9342049711042    2.55979654795635   0.260566567467113 -0.0114713661175876    7.30591712579911    1.05130018300821    42.0669605871154;0.0982054919825321 0.0982055362136605  0.104388522837011 0.0528334944636219 0.0528334865169133  0.056702812734639 0.0267895683331832 0.0267895773024404   0.36596852765907;
1527252285031393164;    5.64327411982157    0.389645500333638     14.9310977142508     2.55702269531219    0.262825817049202 -0.00935866770430792     7.30326804773781     1.05187022541092      42.068484248798; 0.100452766485953  0.100452811700612   0.10832263831323 0.0528335061116747 0.0528334981648102 0.0567034491601637 0.0268614167201672  0.026861425666867  0.368763191547908;
1527252285132577350;     5.5864908274581    0.393123352421856     14.9247962197715      2.5571095098123    0.262646440200341 -0.00658335998560041     7.29906167648822     1.05307211343655     42.0714913643149; 0.100721358225757   0.10072140535699  0.111971159783122 0.0514470934942319 0.0514470893033435  0.053547174203833 0.0269082271949674 0.0269082360942908  0.364579935234501;
1527252285233893726;    5.53300942109536    0.393214092157905     14.9224708434745     2.56675392228805    0.258046505283542 -0.00183365160914116     7.29722581402378     1.05367960192045     42.0730380681573; 0.102888178415663  0.102888226449806  0.115887468266656 0.0528243896397969 0.0528243723658101 0.0566488539716246 0.0269831648121243 0.0269831736893993    0.3676084856416;
1527252285334952525;     5.46952747148295     0.395813855864944      14.9224396610896      2.56615222835512     0.259508847586031 -3.19494226628648e-05      7.29583380181245      1.05430210790816      42.0746103531511; 0.104963460319874  0.104963509314822  0.119783084765712 0.0528284381728886 0.0528284208124889 0.0566943655791071 0.0270588918349661 0.0270589006901515  0.370563957118707;
1527252285436251022;   5.40004647060774   0.405127208030554    14.9232015901622    2.56195863090749   0.261569966697994 0.00437628877316741    7.29392443823075    1.05558289032399     42.077634535567; 0.104903019079276  0.104903070226833  0.123326857878102 0.0514531256129162 0.0514531164615597 0.0535575553257912 0.0271131503322566 0.0271131591430741  0.366716056444711;
1527252285537411063;  5.32863209460328  0.414978825394991   14.9217647354358    2.5611317155208  0.262677266730893 0.0075449699044444   7.29250312543393   1.05681767555714   42.0808968851297; 0.104888475441902  0.104888528496432  0.126859915475027 0.0514520580401694 0.0514520489080814 0.0535445287437979 0.0271711525967557 0.0271711613632495  0.363438806313457;
