SM_Time;Status;
1455210108542865834;3;
1455210108633910283;3;
1455210108734960709;3;
1455210108835795169;3;
1455210108936784806;3;
1455210109037807740;3;
1455210109138687394;3;
1455210109239603537;3;
1455210109340602812;3;
1455210109441547462;3;
1455210109542593654;3;
1455210109633581210;3;
1455210109734571570;3;
1455210109835580304;3;
1455210109936621081;3;
1455210110037644569;3;
1455210110138575519;3;
1455210110239507235;3;
1455210110340558650;3;
1455210110441687362;3;
1455210110542650766;3;
1455210110633598325;3;
1455210110734781484;3;
1455210110835915177;3;
1455210110936986503;3;
1455210111038041334;3;
1455210111138902304;3;
1455210111239982000;3;
1455210111340994481;3;
1455210111442044283;3;
1455210111543341067;3;
1455210111634158000;3;
1455210111735102176;3;
1455210111836055734;3;
1455210111937069832;3;
1455210112038141719;3;
1455210112139067844;3;
1455210112240065436;3;
1455210112341198952;3;
1455210112442431505;3;
1455210112543524931;3;
1455210112634611673;3;
1455210112735520924;3;
1455210112836581622;3;
1455210112937669100;3;
1455210113038777303;3;
1455210113139702773;3;
1455210113240641407;3;
1455210113341653714;3;
1455210113442469498;3;
1455210113533716483;3;
1455210113634838806;3;
1455210113735719568;3;
1455210113836890660;3;
1455210113937864184;3;
1455210114038775175;3;
1455210114139693372;3;
1455210114240935904;3;
1455210114341869677;3;
1455210114442869869;3;
1455210114533868891;3;
1455210114634925576;3;
1455210114736136513;3;
1455210114837221468;3;
1455210114938275567;3;
1455210115039322811;3;
1455210115140326041;3;
1455210115241284623;3;
1455210115342436396;3;
1455210115443505024;3;
1455210115534614104;3;
1455210115635565491;3;
1455210115736624784;3;
1455210115837844018;3;
1455210115938824685;3;
1455210116039705002;3;
1455210116140690940;3;
1455210116241737786;3;
1455210116342820126;3;
1455210116433743080;3;
1455210116534833397;3;
1455210116635771515;3;
1455210116736858895;3;
1455210116837885527;3;
1455210116938969437;3;
1455210117040169028;3;
1455210117141105950;3;
1455210117242291836;3;
1455210117343368878;3;
1455210117434421139;3;
1455210117535342044;3;
1455210117636417029;3;
1455210117737531152;3;
1455210117838722433;3;
1455210117939650458;3;
1455210118040745883;3;
1455210118141682810;3;
1455210118242918365;3;
1455210118333895273;3;
1455210118434998300;3;
1455210118536120745;3;
1455210118637168182;3;
1455210118738269282;3;
1455210118839462776;3;
1455210118944406711;3;
1455210119035164585;3;
1455210119136205963;3;
1455210119237130584;3;
1455210119338261718;3;
1455210119439227816;3;
1455210119540149802;3;
1455210119641270513;3;
1455210119742435967;3;
