KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1527250339843144894;   1.52970882079714  0.0106950936208121 -0.0218206581747194;  30.121856281515 -1.16546474429421  58.9019590644066;
1527250339923153877;    1.5293658335488  0.0145858811207654 -0.0231701932024573; 29.7668579975009 -1.14937746878008  58.8901667986763;
1527250340013154984;   1.52947963635159  0.0162628567122665 -0.0210566718657183; 29.9059504045131 -1.14956224307638  58.8881579376878;
1527250340063158989;    1.5297014137983  0.0169071975501298 -0.0197282387204892;  29.515086747053 -1.12653960206363  58.8871339086177;
1527250340153172016;   1.52824805708774  0.0203796375233043 -0.0156895516171458; 29.1852612625181 -1.09700189203406  58.8854874344174;
1527250340203167915;   1.52664566162318  0.0198916566430902 -0.0138455426145608; 29.2617154930804 -1.09603451816296  58.8847614362599;
1527250340283174992;   1.52548116064803  0.0240589049474898 -0.0079440821226842; 28.8372705846389 -1.05612652445422  58.8934351305024;
1527250340373183966;   1.52569532191333  0.0258388388107886 -0.0011146690601092; 28.9734014290857 -1.05296006589385  58.8930223445826;
1527250340423192024;   1.53460396527127  0.0171810056833582 0.00170925067881114; 28.5990928680322 -1.02703478887809  58.8927779498383;
1527250340503192902;   1.53208713648225  0.0207425046397798 0.00817907263362567;  28.2631072098954 -0.984276915587583   58.8832168863642;
1527250340593205929;  1.53265305208791 0.0210375820764853 0.0143805579862518;  28.3983714464476 -0.980371146184455   58.8842298974233;
1527250340643203974;  1.53455804778117 0.0232609071253739 0.0169642096197057;  28.0277154449836 -0.938272194250185   58.8850312616594;
1527250340723209858;  1.53541946307042 0.0225408201749958 0.0217074737112084;   27.635293314251 -0.883530565220029   58.8965944078882;
1527250340813216925;  1.53589300806194 0.0241879448004905 0.0242559733370894;  27.7705586344745 -0.879221855820022   58.8986437573719;
1527250340903223038;    1.539587036514  0.025695856481382 0.0247200938930159;  27.4610415568552 -0.829689488142397   58.8908836841436;
1527250340983232021;   1.5435913466083 0.0230304621486159 0.0248578848262693; 27.2149074932627 -0.79222050064905  58.8828983777239;
1527250341053236008;  1.54500302040714 0.0255147984979153  0.023784831778772;  27.3219092273095 -0.789449017424229   58.8845711582539;
1527250341143247843;  1.55094343345465 0.0244047220890063 0.0185739535302931;  27.1040111096272 -0.752275492951835   58.8964731247282;
1527250341203249931;  1.55428616340618 0.0218920256709263 0.0150989327158945;   27.197089952733 -0.750327530113596    58.897505268604;
1527250341283252954;   1.56098333321488  0.0209762020138942 0.00954828674138602;  26.8997405035959 -0.704171252096829   58.8985558470686;
1527250341333259821;    1.5619889900082  0.0219049057202465 0.00525725992314126;  26.6218434002922 -0.663363106841301   58.8989767097605;
1527250341413264990;    1.57162965847414   0.0145718226517898 -0.00057013863794933;  26.7491365169036 -0.648069541438575    58.896880585597;
1527250341503275871;   1.57471964180742  0.0156892039041913 -0.0065869074191939;  26.4917983536787 -0.602246296266851   58.8866533455263;
1527250341563277960;    1.57713191617988   0.0135581735611755 -0.00899443792201587;  26.5881421241114 -0.602271168134841   58.8861985271857;
1527250341623277903;   1.58043918575596  0.0107444589907205 -0.0135094110164617;   26.272399463064 -0.557247998859836   58.8955345170802;
1527250341723286867;   1.58310880161795   0.013725184290259 -0.0177127862410022;  26.0211342165527 -0.513028895725485    58.894043248707;
1527250341773296833;   1.58404017966051  0.0142534005342404 -0.0183734364245599;    26.10156782683 -0.513802350195724   58.8931575579062;
1527250341853303909;   1.58622074235281  0.0159290231988683 -0.0211224281186186;  25.8961586604783 -0.481279766041279   58.8816177202311;
1527250341943306923;     1.585738579638  0.0175906564016597 -0.0205770754010262;  26.0405620885902 -0.483196956109442   58.8797610091835;
1527250341993310928;   1.58209163767513  0.0209173669249983 -0.0203747044646179;  25.7195523007674 -0.444485615819055   58.8787276756071;
1527250342083319902;    1.5816924962897  0.0255695326367139 -0.0202807149959353;  25.8632486143054 -0.446301876235343   58.8768737382979;
1527250342133324862;   1.58484141561831  0.0264447661586714 -0.0201329403093472;  25.5417581775581 -0.413079328016132   58.8858964150099;
