KF_ArUco_Time;KF_ArUco_pos_NED;
1525871140561027307;0.108024516204099 0.323423642747987  3.16653739218836;
1525871140894335406;0.139188249643576 0.279799448814372  3.05148288321766;
1525871141227643506;0.0938706652986286  0.195243821363785   2.98380721108698;
1525871141560951606;0.0955213368890989 0.0804099793669885   2.94052220086203;
1525871141894259606; 0.0829567868491868 -0.0127561022566358    2.87681751865368;
1525871142227567707; 0.0289144740009175 -0.0271262484822292     2.8124188684267;
1525871142560875806; 0.0404249295304149 -0.0706165213153785    2.75765899655383;
1525871142560875806; 0.0404249295304149 -0.0706165213153785    2.75765899655383;
1525871142894183906; -0.01043911927036 -0.067817800979085   2.67239784245332;
1525871143227492006;-0.0386646766471223 -0.0761212478589387    2.60580880443761;
1525871143560800006;-0.0517279129651379 -0.0341554873694172    2.53585131884678;
1525871143894108106;-0.0509931122124493 -0.0658039955547099    2.46855129166941;
1525871144227416207; -0.113677413476455 -0.0414673137212985    2.38316201327046;
1525871144227416207; -0.113677413476455 -0.0414673137212985    2.38316201327046;
1525871144560724306; -0.117098689904061 -0.0852111325845314    2.21653597075602;
1525871144894032406;-0.0872707863747581 -0.0340025945582646    2.15718502778419;
1525871145227340406;-0.0778195470259467 -0.0122298645095681    2.04998552435199;
1525871145227340406;-0.0778195470259467 -0.0122298645095681    2.04998552435199;
1525871145560648506;-0.0306652403158087    0.02914457821747    1.94691833646801;
1525871145893956606;0.00516033859231824  0.0605861454732021    1.86740182693158;
1525871146227264707;0.0265715285657342 0.0424085245098337   1.76290086149039;
1525871146227264707;0.0265715285657342 0.0424085245098337   1.76290086149039;
1525871146560572806;0.0774974175349016 0.0482529543220434   1.63020087967052;
1525871146893880906;  0.13713732587962 0.0664479812888934    1.5302765158179;
1525871146893880906;  0.13713732587962 0.0664479812888934    1.5302765158179;
1525871147227189006; 0.204988994637114 0.0355308842582753   1.41375491171624;
1525871147227189006; 0.204988994637114 0.0355308842582753   1.41375491171624;
1525871147560497006;   0.23246643619821 -0.0430596226563372    1.32078308681944;
1525871147560497006;   0.23246643619821 -0.0430596226563372    1.32078308681944;
1525871148227113206; 0.208050591183203 -0.151737615483698   1.24180888559914;
1525871148893729406;0.109296829597851 -0.18354347960284  1.04379926642187;
1525871148893729406;0.109296829597851 -0.18354347960284  1.04379926642187;
1525871149227037406;0.0590899171033445 -0.158395749620823  0.902577825076083;
1525871149560345506;0.0199308531831046 -0.117745081991516  0.788083470957238;
1525871149560345506;0.0199308531831046 -0.117745081991516  0.788083470957238;
1525871149893653607; 0.0317934091542809 -0.0716709782038557   0.661135850522131;
1525871149893653607; 0.0317934091542809 -0.0716709782038557   0.661135850522131;
1525871150226961706;  0.050594477075187 -0.0222384483590436    0.47621282595822;
1525871150560269806;0.0705630399791628 0.0234298315254923  0.326760747623115;
1525871150560269806;0.0705630399791628 0.0234298315254923  0.326760747623115;
