KF_LP_Time;KF_LP_vel_NED;KF_rel_pos_NED;
1525871138312363904;-0.0752893618662778 -0.0270464783247038                  -0;-16924.4395515342  9919.41199967251  38.1229187174158;
1525871138781585972;-0.0752893618662778 -0.0270464783247038                  -0;-16924.4506960798  9919.58756310754  37.8706602039043;
1525871139236209910;-0.0752893618662778 -0.0270464783247038                  -0;-16924.4840450357  9919.78265099392  37.5931330171197;
1525871139704247992;-0.0752893618662778 -0.0270464783247038                  -0;-16924.4841576998  9919.93475064315  37.3264958968603;
1525871140172069113;-0.0752893618662778 -0.0270464783247038                  -0;-16924.510626417 9920.01055830555 37.0779962371216;
1525871140627832930;-0.0752893618662778 -0.0270464783247038                  -0;-16924.5399419684  9920.02317981444  36.8855672815242;
1525871141095748942;-0.0752893618662778 -0.0270464783247038                  -0;-16924.5845716357  9919.97368206259  36.7139157776719;
1525871141564586918;-0.0752893618662778 -0.0270464783247038                  -0;-16924.6215655481    9919.863688248  36.5692114249605;
1525871142019826930;-0.0752893618662778 -0.0270464783247038                  -0;-16924.6606208328  9919.74457086432  36.4681156609076;
1525871142487716954;-0.0752893618662778 -0.0270464783247038                  -0;-16924.6960300312  9919.66510711231  36.3699658310998;
1525871142943768065; -0.0188223404665695 -0.00676161958117594                   -0;-16924.7647701304    9919.632381829  36.2855092026603;
1525871143439410012; -0.0188223404665695 -0.00676161958117594                   -0;-16924.8073342485  9919.62675954408  36.2008055490604;
1525871143881036084; -0.0188223404665695 -0.00676161958117594                   -0;-16924.8482673764  9919.64729517929  36.0946555362525;
1525871144803919118; -0.0188223404665695 -0.00676161958117594                   -0;-16924.9631607799  9919.62111886019  35.8757401029679;
1525871145273701947; -0.0188223404665695 -0.00676161958117594                   -0;-16924.9646564701  9919.63709571238  35.7531024794971;
1525871145728579085; -0.0188223404665695 -0.00676161958117594                   -0;-16924.956489201 9919.67901369033 35.6293581769351;
1525871146191451113; -0.0188223404665695 -0.00676161958117594                   -0;-16924.935814306 9919.71846306791 35.4747907249121;
1525871146665626090; -0.0188223404665695 -0.00676161958117594                   -0;-16924.9136296926  9919.72156510791  35.3209407409504;
1525871147121048968; -0.0188223404665695 -0.00676161958117594                   -0;-16924.8252915678  9919.73063508789  35.1644672964567;
1525871147588639062;-0.0376446809331389 -0.0135232391623519                  -0;-16924.7697431641  9919.69151900808  35.0653532193173;
1525871148058255952;-0.0376446809331389 -0.0135232391623519                  -0;-16924.9184595646  9919.58766272604  34.9302409645696;
1525871148512790005;-0.0376446809331389 -0.0135232391623519                  -0;-16925.2696374941  9919.47932632679  34.7514144438574;
1525871148982029002;-0.0376446809331389 -0.0135232391623519                  -0;-16925.7824584248  9919.40476350077  34.6087520411484;
1525871149448128026;-0.0376446809331389 -0.0135232391623519                  -0;-16926.1194652714  9919.38138734187  34.5547069834847;
1525871149905130904;-0.0376446809331389 -0.0135232391623519                  -0;-16926.2328434226   9919.4494826479  34.6275819312366;
1525871150404958050;-0.0376446809331389 -0.0135232391623519                  -0;-16926.2435127973  9919.51601705863  34.6227298980384;
1525871150840599101;-0.0376446809331389 -0.0135232391623519                  -0;-16926.133690875 9919.61372873676 34.4741670997992;
1525871151296711962;-0.0376446809331389 -0.0135232391623519                  -0;-16925.8816417362  9919.62747484697   34.222656573208;
1525871151765797894;-0.0376446809331389 -0.0135232391623519                  -0;-16925.8313591943  9919.62714299397  34.0435918716771;
1525871152232107918; -0.0196789478347569 -0.00356917527125218                   -0;-16925.8624231993  9919.62171652632  33.8788971520698;
1525871152688210051; -0.0196789478347569 -0.00356917527125218                   -0;-16925.904436112 9919.61900478073 33.7393975997311;
1525871153156319897; -0.0196789478347569 -0.00356917527125218                   -0;-16925.9100578968  9919.61645009264  32.6934350566671;
1525871153624405902; -0.0196789478347569 -0.00356917527125218                   -0;-16925.9176802089  9919.61288329584   32.768726093941;
1525871154081742089; -0.0196789478347569 -0.00356917527125218                   -0;-16925.9550800624   9919.5887752722  32.8147714445422;
1525871154548469107; -0.0196789478347569 -0.00356917527125218                   -0;-16925.9815826187  9919.59345365044  32.8841980540974;
1525871155016238968; -0.0196789478347569 -0.00356917527125218                   -0;-16926.0184192997  9919.60578244708  32.9135440403406;
1525871155470562022; -0.0196789478347569 -0.00356917527125218                   -0;-16926.0112310065   9919.6223016526  32.9398698494233;
1525871155934751074; -0.0196789478347569 -0.00356917527125218                   -0;-16926.0224061296  9919.63942336647  32.9620463919209;
1525871156404227059; -0.0196789478347569 -0.00356917527125218                   -0;-16926.0348828228  9919.66737419493  33.0146061577734;
1525871156865881007; -0.0295184217521353 -0.00535376290687828                   -0;-16926.061477411 9919.67305164989 33.0324016479281;
1525871157331311982; -0.0295184217521353 -0.00535376290687828                   -0;-16926.0999597412  9919.69511212877  33.0157788343522;
1525871157800406020; -0.0295184217521353 -0.00535376290687828                   -0;-16926.1225618696  9919.71201691592  33.0394120570114;
1525871158255279105; -0.0295184217521353 -0.00535376290687828                   -0;-16926.1447776011  9919.71752740692  33.0308785338648;
1525871158721662085; -0.0295184217521353 -0.00535376290687828                   -0;-16926.2089821079  9919.72531313661  33.0128517203966;
