KF_Time;KF_States;KF_Covariance;
1455208271777908682; 0.0190927146322306   0.442411879365674    5.80143045510795                   0                   0                   0   0.108834057544322 -0.0497765839943126 -0.0738444292262972;  0.0660266874143565   0.0660266874143565    0.054598989789529 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397542784686898   0.0397542784686898    0.829214500960023;
1455208271878950259; 0.0922552442352682   0.394183459566015    5.74392215946046                   0                   0                   0   0.127520798721994 -0.0538238770456812  -0.044784319562622;  0.0725361904980855   0.0725361904980855   0.0625739098503437 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0394395110739044   0.0394395110739044    0.787892249322198;
1455208271979871774;  0.122500945004163   0.353134290309954    5.68585283957231                   0                   0                   0   0.127520798721994 -0.0538238770456812  -0.044784319562622;  0.0766361997282153   0.0766361997282153   0.0666739190804735 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395395110713782   0.0395395110713782    0.797892249098681;
1455208272080826618;  0.150086294114595   0.309075714196004    5.63041951714958                   0                   0                   0   0.127520798721994 -0.0538238770456812  -0.044784319562622;  0.0807362097665267   0.0807362097665267   0.0707739291187849 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.039639511068852    0.039639511068852    0.807892248875164;
1455208272181771013;  0.179854415392096   0.311848943152269    5.59608935142119                   0                   0                   0   0.127317729580732 -0.0558086377318707 -0.0471402609046178;   0.061482079686062    0.061482079686062   0.0512685655997478 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.039695261742289    0.039695261742289    0.817204889566811;
1455208272282754930;   0.20323611544526    0.26849364343284    5.54208620126435                   0                   0                   0   0.127317729580732 -0.0558086377318707 -0.0471402609046178;  0.0655820893910775   0.0655820893910775   0.0553685753047633 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0397952617397628   0.0397952617397628    0.827204889343293;
1455208272383828673;  0.259914164813445   0.214469579845031    5.48737437627089                   0                   0                   0   0.146395919363058 -0.0609895439255074 -0.0183125393918777;  0.0682050876944022   0.0682050876944022   0.0592694173351173 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.039378963337382    0.039378963337382    0.777519058456041;
1455208272484891264; 0.258706922895946  0.178610493864679   5.44151715020263                  0                  0                  0  0.147335425909922 -0.061271287662731 -0.019187695971466;  0.0547080200867379   0.0547080200867379   0.0458655641241871 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.039435977590671    0.039435977590671    0.786860453625494;
1455208272585995152; 0.272802827838659   0.14098318533816   5.39380367179781                  0                  0                  0  0.147335425909922 -0.061271287662731 -0.019187695971466;  0.0588080296867359   0.0588080296867359   0.0499655737241852 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395359775881448   0.0395359775881448    0.796860453401977;
1455208272680646959; 0.280178497142238  0.107276618342493    5.3437445636343                  0                  0                  0  0.147335425909922 -0.061271287662731 -0.019187695971466;  0.0629080407564532   0.0629080407564532   0.0540655847939024 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396359775856186   0.0396359775856186     0.80686045317846;
1455208272781599907;  0.321135808102173  0.0657950145662677    5.29915583279485                   0                   0                   0   0.167020329717218 -0.0671340987397934  0.0120371607474886;  0.0695644544826473   0.0695644544826473   0.0620424965263395 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0393216763177265   0.0393216763177265    0.768640476984156;
1455208272882592580; 0.288159333075978 0.0333958458399052   5.25005260986361                  0                  0                  0  0.168414432989635 -0.066957208187594 0.0117487772117454;   0.055270132257843    0.055270132257843   0.0472238073405544 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0393779352260624   0.0393779352260624    0.777967055245156;
1455208272983563416;   0.27735443720625 0.00709613434891778    5.20462641159036                   0                   0                   0   0.168414432989635  -0.066957208187594  0.0117487772117454;  0.0593701419697489   0.0593701419697489   0.0513238170524603 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0394779352235362   0.0394779352235362    0.787967055021638;
1455208273084719122;  0.257701259908308 -0.0192260603034101    5.16066629169026                   0                   0                   0   0.168414432989635  -0.066957208187594  0.0117487772117454;  0.0634701519874518   0.0634701519874518   0.0554238270701632 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07     0.03957793522101     0.03957793522101    0.797967054798121;
1455208273185636449;  0.238087591444246 -0.0454953393787741    5.11679454493451                   0                   0                   0   0.168414432989635  -0.066957208187594  0.0117487772117454;  0.0675701619649988   0.0675701619649988   0.0595238370477102 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396779352184838   0.0396779352184838    0.807967054574603;
1455208273276582874;   0.3002000321735 -0.140705775182535   5.00935522188396                  0                  0                  0  0.185857835207922 -0.070642280901437 0.0536568133827059;  0.0569412512699322   0.0569412512699322   0.0499473382660373 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0393179778898012   0.0393179778898012    0.768928147225714;
1455208273377491017; 0.271449915628964 -0.161199973009191    4.9523719889482                  0                  0                  0  0.185857835207922 -0.070642280901437 0.0536568133827059;  0.0610412603961315   0.0610412603961315   0.0540473473922366 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07    0.039417977887275    0.039417977887275    0.778928147002196;
1455208273478525526; 0.243807079851388 -0.175583062977947   4.89356151106685                  0                  0                  0  0.185857835207922 -0.070642280901437 0.0536568133827059;   0.065141270391449    0.065141270391449   0.0581473573875541 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395179778847487   0.0395179778847487    0.788928146778679;
1455208273579565821;  0.250845272115934  -0.245399798051146     4.8654375726175                   0                   0                   0   0.184468139574727 -0.0684642158649107  0.0489351868602309;  0.0525733743061914   0.0525733743061914   0.0453052573964946 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0395919944314559   0.0395919944314559    0.798554296799099;
1455208273680436323;  0.221574453167995  -0.255819781373158    4.81253567654086                   0                   0                   0   0.184468139574727 -0.0684642158649107  0.0489351868602309;  0.0566733839710955   0.0566733839710955   0.0494052670613986 9.99999997475243e-07 9.99999997475243e-07 9.99999997475243e-07   0.0396919944289297   0.0396919944289297    0.808554296575582;
